year,species,lc_doy,lf_doy,sd_lc_doy,sd_lf_doy
1996,FRAM,281,287,2.104168756,5.108296074
1997,FRAM,278,290,7.005947416,5.357188578
1998,FRAM,277,287,4.638574886,7.096580743
1999,FRAM,275,283,6.940708846,7.08109738
2000,FRAM,275,287,1.147664975,1.631966995
2001,FRAM,276,284,13.34068618,13.86152243
2002,FRAM,281,292,3.296645321,0.577200157
2003,FRAM,277,285,10.05088254,8.161566274
2004,FRAM,274,281,3.484682498,5.6521098
2005,FRAM,278,283,3.666485227,4.757018258
2006,FRAM,266,271,9.714545682,14.42225156
2007,FRAM,271,282,4.887698494,2.042075588
2008,FRAM,273,285,5.029348747,2.155702179
2009,FRAM,272,283,7.289227738,12.09547365
2010,FRAM,268,279,2.783977823,0.232289467
2011,FRAM,267,276,1.902170862,1.02438413
2012,FRAM,271,280,3.960892936,4.671156012
2013,FRAM,263,270,3.034286478,2.478813578
2014,FRAM,267,278,2.130180762,3.433238277
2015,FRAM,279,286,0.615501707,2.743557803
2016,FRAM,278,290,0.593767306,4.927178697
2017,FRAM,270,282,0.480694504,1.643656868
2018,FRAM,275,284,3.532206193,2.890397078
2019,FRAM,271,283,0.697888076,1.472312976
2020,FRAM,273,283,6.897725337,7.086796646
2021,FRAM,270,283,1.033306198,3.202123363
2022,FRAM,273,285,3.047638104,4.854660855
1991,HAVI,275,286,4.706433627,24.61730153
1992,HAVI,273,285,10.61708187,14.98562912
1993,HAVI,276,288,10.73132222,6.3358235
1994,HAVI,271,285,3.625388176,2.129612722
1995,HAVI,274,285,5.984881208,1.95351799
1996,HAVI,280,288,12.42311193,25.71118922
1997,HAVI,278,289,4.404122573,9.527162716
1998,HAVI,273,288,2.394622147,8.712034526
1999,HAVI,279,289,2.577133427,2.05276393
2000,HAVI,278,290,1.540787804,2.433894559
2001,HAVI,281,289,2.860503812,3.200633962
1991,ILVE,294,300,14.81397528,NA
1992,ILVE,NA,303,1.928828459,5.147196717
1993,ILVE,291,298,5.608294501,6.782107638
1994,ILVE,296,304,2.586580229,5.230571076
1995,ILVE,293,302,3.940074932,5.237271983
1996,ILVE,296,303,2.179373191,6.449684888
1997,ILVE,302,309,7.529614285,10.7244998
1998,ILVE,296,308,6.062190817,4.013624352
1999,ILVE,295,304,4.999756625,11.03458297
2000,ILVE,297,305,2.575613577,0.578023722
2001,ILVE,297,307,5.776076746,2.915757615
1991,KAAN,286,296,6.040260772,8.678686005
1992,KAAN,NA,290,3.412974288,2.463423536
1993,KAAN,286,291,2.228819414,2.560626017
1994,KAAN,277,291,3.280201535,5.655212592
1995,KAAN,272,299,2.832760468,5.721892824
1996,KAAN,282,297,4.786454717,3.412567981
1997,KAAN,281,298,1.9492757,5.141888792
1998,KAAN,281,295,11.92826219,15.00070607
1999,KAAN,286,303,15.12412441,10.31906921
2000,KAAN,282,301,6.042951562,10.60437862
2001,KAAN,276,298,1.5276458,6.891987357
1991,KALA,276,278,15.00409555,17.64247862
1992,KALA,292,292,5.406700856,7.609771643
1993,KALA,285,286,10.69401757,11.05811642
1994,KALA,264,267,2.287426802,3.477804029
1995,KALA,264,264,2.774410024,1.798450127
1996,KALA,264,269,3.374433307,7.010692904
1997,KALA,260,275,1.298953449,4.600160893
1998,KALA,249,254,5.886649028,1.887083346
1999,KALA,274,263,1.588804782,2.321234618
2000,KALA,267,254,2.301915087,1.752845012
2001,KALA,252,252,23.44844626,20.63303188
1991,LYLI,271,294,9.950814128,4.78384878
1992,LYLI,265,296,5.339545484,3.967802902
1993,LYLI,277,297,0.360617767,1.999889999
1994,LYLI,275,291,11.83784509,10.92884963
1995,LYLI,268,278,4.213188695,6.467104249
1996,LYLI,284,294,2.650810725,6.478452225
1997,LYLI,280,292,2.03159497,7.758010721
1998,LYLI,278,290,6.225278675,1.855693196
1999,LYLI,267,276,5.362653346,6.72783489
2000,LYLI,279,298,1.121186018,5.658594323
2001,LYLI,281,290,4.756591382,4.932457353
1991,NEMU,269,259,0.696937428,2.611186346
1992,NEMU,285,285,3.514530703,2.274179941
1993,NEMU,260,285,2.347523466,4.531060527
1994,NEMU,282,290,10.72565054,7.508680971
1995,NEMU,277,286,6.235155559,5.873477451
1996,NEMU,281,286,2.95086209,1.650442613
